Wall time,Step,Value
1493802628.736595,99999,0.03438050299882889
1493803211.461054,149999,0.03351479396224022
1493803818.125109,199999,0.033149804919958115
1493804440.261161,249999,0.03274243324995041
1493805029.514992,299999,0.021870434284210205
1493805629.36868,349999,0.018369004130363464
1493806262.581128,399999,0.015468485653400421
1493806864.850578,449999,0.014368360862135887
1493807466.73981,499999,0.013504868373274803
1493808082.123706,549999,0.012739185243844986
1493808712.781732,599999,0.012042529881000519
1493809324.196052,649999,0.01217934861779213
1493809956.103149,699999,0.011637902818620205
1493810603.558045,749999,0.012232141569256783
1493811245.31855,799999,0.012954859994351864
1493811871.170421,849999,0.014177607372403145
1493812505.071942,899999,0.015067141503095627
1493813136.024774,949999,0.015882067382335663
1493813768.320262,999999,0.015484114177525043
1493814418.356036,1049999,0.014674019999802113
1493815061.105257,1099999,0.013957196846604347
1493815732.294153,1149999,0.013225708156824112
1493816371.468833,1199999,0.014656218700110912
1493817009.909678,1249999,0.015230625867843628
1493817648.544178,1299999,0.01586165279150009
1493818288.600007,1349999,0.016745856031775475
1493818931.143444,1399999,0.016591751947999
1493819562.290006,1449999,0.016040969640016556
1493820195.851485,1499999,0.0167985949665308
1493820851.537312,1549999,0.016057297587394714
1493821518.87832,1599999,0.015840807929635048
1493822178.52127,1649999,0.017761897295713425
1493822879.826199,1699999,0.016477741301059723
1493823582.535269,1749999,0.01631009951233864
1493824288.481148,1799999,0.01788957417011261
1493824990.580304,1849999,0.01661725528538227
1493825708.507481,1899999,0.015925057232379913
1493826435.899183,1949999,0.015254299156367779
1493827161.140844,1999999,0.01563255861401558
1493827876.820405,2049999,0.016985688358545303
1493828590.669546,2099999,0.015932470560073853
1493829310.001451,2149999,0.016637016087770462
1493830054.008557,2199999,0.016201553866267204
1493830774.116277,2249999,0.017097435891628265
1493831494.740227,2299999,0.016942981630563736
1493832212.256716,2349999,0.01795373670756817
1493832939.65601,2399999,0.017476310953497887
1493833656.514067,2449999,0.017505409196019173
1493834377.792965,2499999,0.016573021188378334
1493835104.609855,2549999,0.01673634722828865
1493835820.563281,2599999,0.01563837192952633
1493836563.860978,2649999,0.015573938377201557
1493837288.420683,2699999,0.015237731859087944
1493838000.216119,2749999,0.01450513955205679
1493838730.981646,2799999,0.014796302653849125
1493839462.313905,2849999,0.01466524787247181
1493840191.498553,2899999,0.014466572552919388
1493840919.814379,2949999,0.014185505919158459
1493841660.521694,2999999,0.014430622570216656
1493842419.650779,3049999,0.013646996580064297
1493843149.986889,3099999,0.014034191146492958
1493843859.148356,3149999,0.013873625546693802
1493844557.797222,3199999,0.015236164443194866
1493845247.377213,3249999,0.014788835309445858
1493845911.051657,3299999,0.015407692641019821
1493846563.574522,3349999,0.014027418568730354
1493847241.303724,3399999,0.015030886977910995
1493847902.248519,3449999,0.014787155203521252
1493848538.866264,3499999,0.014500586315989494
1493849188.273459,3549999,0.01507573202252388
1493849821.673875,3599999,0.012927292846143246
1493850454.534052,3649999,0.013262761756777763
1493851096.852848,3699999,0.013573984615504742
1493851797.674392,3749999,0.013734317384660244
1493852429.021478,3799999,0.013896958902478218
1493853071.745058,3849999,0.012976656667888165
1493853707.053546,3899999,0.01369975320994854
1493854351.429892,3949999,0.014669808559119701
1493854984.158371,3999999,0.013371321372687817
1493855623.183571,4049999,0.012880955822765827
1493856258.22052,4099999,0.012485501356422901
1493856893.323488,4149999,0.01241487916558981
1493857535.86885,4199999,0.01283338014036417
1493858168.671337,4249999,0.012443454936146736
1493858801.413148,4299999,0.012282704934477806
1493859446.96947,4349999,0.012487279251217842
1493860083.603348,4399999,0.013171134516596794
1493860743.294929,4449999,0.013734153471887112
1493861378.324176,4499999,0.013046333566308022
1493862039.730343,4549999,0.012284616008400917
1493862692.029746,4599999,0.012966095469892025
1493863323.953921,4649999,0.012830444611608982
1493863956.173098,4699999,0.01239305641502142
1493864601.651435,4749999,0.0124407559633255
1493865240.817212,4799999,0.012622122652828693
1493865878.609297,4849999,0.013762361370027065
1493866513.664545,4899999,0.012993271462619305
1493867146.73312,4949999,0.012552709318697453
1493867796.508931,4999999,0.012252820655703545
1493868430.223719,5049999,0.012544404715299606
1493869067.42555,5099999,0.013100284151732922
1493869697.665113,5149999,0.012654803693294525
1493870335.659217,5199999,0.01277404185384512
1493870969.844001,5249999,0.01290836650878191
1493871603.780997,5299999,0.013959726318717003
1493872236.082364,5349999,0.013751220889389515
1493872872.283913,5399999,0.012801192700862885
1493873507.081734,5449999,0.012134180404245853
1493874139.075936,5499999,0.011863415129482746
1493874768.859444,5549999,0.012370784766972065
1493875404.730067,5599999,0.01194539200514555
1493876037.430073,5649999,0.012440613470971584
1493876683.855392,5699999,0.012212551198899746
1493877324.023815,5749999,0.011694383807480335
1493877968.023305,5799999,0.011729291640222073
1493878605.81873,5849999,0.011496189050376415
1493879239.121615,5899999,0.011635322123765945
1493879878.542322,5949999,0.011378270573914051
1493880517.844189,5999999,0.011894862167537212
1493881162.091633,6049999,0.01170291192829609
1493881797.951844,6099999,0.011769321747124195
1493882431.319014,6149999,0.010957010090351105
1493883092.347258,6199999,0.010622694157063961
1493883726.485194,6249999,0.011000662110745907
1493884361.621829,6299999,0.01094083022326231
1493884994.838807,6349999,0.01108790747821331
1493885631.223935,6399999,0.0113748200237751
1493886268.965533,6449999,0.011479813605546951
1493886903.710726,6499999,0.011452549137175083
1493887556.694971,6549999,0.011706258170306683
1493888202.330734,6599999,0.011568567715585232
1493888834.625739,6649999,0.011832631193101406
1493889476.626031,6699999,0.011753048747777939
1493890159.309212,6749999,0.01126747578382492
1493890798.333887,6799999,0.011364959180355072
1493891432.030251,6849999,0.01115361787378788
1493892083.413406,6899999,0.011083663441240788
