Wall time,Step,Value
1493802607.161425,99999,-20.0
1493803169.893597,149999,-20.0
1493803745.3909,199999,-20.0
1493804321.067585,249999,-20.0
1493804893.238321,299999,-20.0
1493805469.060256,349999,-20.0
1493806048.928274,399999,-20.0
1493806632.218746,449999,-20.0
1493807218.785272,499999,-20.0
1493807808.66046,549999,-20.0
1493808401.585329,599999,-20.0
1493808998.349103,649999,-20.0
1493809598.310789,699999,-20.0
1493810200.90844,749999,-20.0
1493810805.969224,799999,-20.0
1493811413.208021,849999,-20.0
1493812021.949621,899999,-20.0
1493812631.442101,949999,-20.0
1493813242.673839,999999,-20.0
1493813856.570183,1049999,-20.0
1493814471.536672,1099999,-19.0
1493815086.598188,1149999,-20.0
1493815701.472863,1199999,-19.0
1493816316.077784,1249999,-18.0
1493816930.559534,1299999,-19.0
1493817545.436128,1349999,-18.0
1493818160.015763,1399999,-20.0
1493818774.788013,1449999,-19.0
1493819389.49706,1499999,-18.0
1493820004.213328,1549999,-20.0
1493820626.175681,1599999,-18.0
1493821255.43753,1649999,-19.0
1493821884.785892,1699999,-17.0
1493822541.135212,1749999,-18.0
1493823211.527187,1799999,-17.0
1493823881.874721,1849999,-19.0
1493824551.24198,1899999,-20.0
1493825221.010381,1949999,-19.0
1493825903.730657,1999999,-19.0
1493826593.028977,2049999,-18.0
1493827282.726279,2099999,-17.0
1493827971.94309,2149999,-19.0
1493828661.217515,2199999,-18.0
1493829350.797104,2249999,-18.0
1493830040.777157,2299999,-19.0
1493830731.176044,2349999,-19.0
1493831421.485782,2399999,-17.0
1493832111.128939,2449999,-18.0
1493832801.600704,2499999,-17.0
1493833493.039501,2549999,-17.0
1493834183.545578,2599999,-16.0
1493834873.830541,2649999,-19.0
1493835564.325916,2699999,-20.0
1493836254.869832,2749999,-18.0
1493836947.107036,2799999,-18.0
1493837637.444991,2849999,-19.0
1493838327.591914,2899999,-19.0
1493839017.962994,2949999,-18.0
1493839707.581086,2999999,-18.0
1493840397.844127,3049999,-16.0
1493841089.430965,3099999,-15.0
1493841780.091367,3149999,-15.0
1493842469.750835,3199999,-16.0
1493843154.38471,3249999,-16.0
1493843825.542203,3299999,-15.0
1493844496.295608,3349999,-18.0
1493845159.315798,3399999,-17.0
1493845790.608328,3449999,-18.0
1493846420.179478,3499999,-17.0
1493847048.791456,3549999,-17.0
1493847677.710799,3599999,-18.0
1493848297.692166,3649999,-18.0
1493848911.949503,3699999,-18.0
1493849526.058089,3749999,-17.0
1493850140.161223,3799999,-18.0
1493850754.386837,3849999,-15.0
1493851367.937345,3899999,-16.0
1493851981.900281,3949999,-17.0
1493852595.718283,3999999,-17.0
1493853208.807004,4049999,-13.0
1493853822.459646,4099999,-17.0
1493854436.299064,4149999,-18.0
1493855050.197866,4199999,-15.0
1493855664.070545,4249999,-16.0
1493856278.043572,4299999,-17.0
1493856891.849422,4349999,-14.0
1493857505.71517,4399999,-14.0
1493858119.589208,4449999,-18.0
1493858733.142106,4499999,-16.0
1493859347.282756,4549999,-18.0
