Wall time,Step,Value
1493808853.598335,99999,-20.0
1493809450.148757,149999,-20.0
1493810054.678959,199999,-20.0
1493810664.221991,249999,-20.0
1493811281.089359,299999,-20.0
1493811902.329251,349999,-20.0
1493812529.68839,399999,-20.0
1493813171.068482,449999,-20.0
1493813813.316635,499999,-20.0
1493814437.975379,549999,-20.0
1493815070.458565,599999,-20.0
1493815721.729668,649999,-20.0
1493816380.748012,699999,-20.0
1493817047.040666,749999,-20.0
1493817718.334597,799999,-20.0
1493818395.16659,849999,-20.0
1493819078.082245,899999,-20.0
1493819765.570681,949999,-20.0
1493820456.178833,999999,-20.0
1493821154.843576,1049999,-20.0
1493821864.789245,1099999,-20.0
1493822551.547401,1149999,-20.0
1493823245.744067,1199999,-19.0
1493823937.778181,1249999,-20.0
1493824631.377579,1299999,-20.0
1493825327.375514,1349999,-20.0
1493826022.677465,1399999,-19.0
1493826721.036504,1449999,-19.0
1493827417.836492,1499999,-20.0
1493828115.295454,1549999,-19.0
1493828821.691656,1599999,-20.0
1493829521.811288,1649999,-18.0
1493830209.243005,1699999,-18.0
1493830898.926736,1749999,-16.0
1493831590.957404,1799999,-20.0
1493832283.175062,1849999,-20.0
1493832978.874024,1899999,-19.0
1493833674.907693,1949999,-17.0
1493834371.603275,1999999,-17.0
1493835067.046319,2049999,-18.0
1493835763.374359,2099999,-20.0
1493836469.057309,2149999,-18.0
1493837169.245286,2199999,-18.0
1493837843.38259,2249999,-16.0
1493838518.779647,2299999,-18.0
1493839196.159588,2349999,-17.0
1493839875.703868,2399999,-16.0
1493840558.036798,2449999,-19.0
1493841240.186035,2499999,-19.0
1493841923.322785,2549999,-16.0
1493842606.5249,2599999,-17.0
1493843290.165077,2649999,-16.0
1493843976.656448,2699999,-18.0
1493844663.189588,2749999,-16.0
1493845350.029172,2799999,-15.0
1493846050.644235,2849999,-17.0
1493846732.246232,2899999,-15.0
1493847399.505129,2949999,-15.0
1493848066.109034,2999999,-17.0
1493848731.586586,3049999,-16.0
1493849392.308852,3099999,-17.0
1493850054.808339,3149999,-17.0
1493850715.382231,3199999,-17.0
1493851376.378871,3249999,-16.0
1493852037.157953,3299999,-17.0
1493852696.897376,3349999,-18.0
1493853356.156323,3399999,-17.0
1493854015.493941,3449999,-19.0
1493854674.743948,3499999,-16.0
1493855334.539143,3549999,-16.0
1493855994.863539,3599999,-17.0
1493856655.590617,3649999,-15.0
1493857315.863119,3699999,-17.0
1493857975.769372,3749999,-13.0
1493858634.834573,3799999,-17.0
1493859294.943383,3849999,-18.0
1493859956.198292,3899999,-16.0
1493860615.11761,3949999,-16.0
1493861277.167745,3999999,-12.0
1493861935.518336,4049999,-18.0
1493862597.728663,4099999,-16.0
1493863259.737664,4149999,-17.0
1493863917.961828,4199999,-8.0
1493864578.73764,4249999,-13.0
1493865237.595379,4299999,-16.0
1493865899.079007,4349999,-16.0
1493866558.840322,4399999,-16.0
1493867219.75879,4449999,-14.0
1493867881.578803,4499999,-15.0
1493868539.616426,4549999,-14.0
1493869200.648892,4599999,-14.0
1493869860.634722,4649999,-15.0
1493870521.139522,4699999,-16.0
1493871180.65418,4749999,-10.0
1493871841.843873,4799999,-15.0
1493872503.583195,4849999,-12.0
1493873161.88948,4899999,-12.0
1493873823.391719,4949999,-15.0
1493874484.111767,4999999,-10.0
1493875142.882579,5049999,-14.0
1493875804.621769,5099999,-11.0
1493876464.103085,5149999,-17.0
1493877124.874087,5199999,-13.0
1493877785.945359,5249999,-13.0
1493878445.575847,5299999,-16.0
