Wall time,Step,Value
1493803363.027672,99999,-20.0
1493803915.493572,149999,-20.0
1493804471.385127,199999,-20.0
1493805030.140798,249999,-20.0
1493805593.246737,299999,-20.0
1493806163.17717,349999,-20.0
1493806732.718603,399999,-20.0
1493807307.35857,449999,-20.0
1493807883.34328,499999,-20.0
1493808470.20158,549999,-20.0
1493809079.034962,599999,-20.0
1493809711.466402,649999,-20.0
1493810336.636357,699999,-20.0
1493810971.547224,749999,-20.0
1493811607.203466,799999,-20.0
1493812247.067941,849999,-20.0
1493812871.163453,899999,-20.0
1493813480.37928,949999,-20.0
1493814076.165994,999999,-20.0
1493814683.440395,1049999,-19.0
1493815277.507508,1099999,-20.0
1493815880.106728,1149999,-20.0
1493816479.78582,1199999,-19.0
1493817078.239105,1249999,-20.0
1493817677.446354,1299999,-19.0
1493818277.614788,1349999,-19.0
1493818876.721792,1399999,-19.0
1493819474.744611,1449999,-20.0
1493820073.996288,1499999,-20.0
1493820672.979978,1549999,-19.0
1493821270.423838,1599999,-20.0
1493821867.873047,1649999,-20.0
1493822466.573585,1699999,-19.0
1493823069.880816,1749999,-20.0
1493823670.482064,1799999,-20.0
1493824268.263628,1849999,-18.0
1493824866.062111,1899999,-19.0
1493825468.123261,1949999,-19.0
1493826068.325264,1999999,-18.0
1493826667.011684,2049999,-18.0
1493827269.403734,2099999,-18.0
1493827866.995236,2149999,-19.0
1493828466.511904,2199999,-19.0
1493829064.074089,2249999,-19.0
1493829663.273158,2299999,-19.0
1493830260.603846,2349999,-17.0
1493830861.522139,2399999,-19.0
1493831461.616989,2449999,-19.0
1493832059.993368,2499999,-20.0
1493832661.557278,2549999,-19.0
1493833261.691684,2599999,-17.0
1493833869.200286,2649999,-18.0
1493834473.849851,2699999,-20.0
1493835078.985787,2749999,-17.0
1493835681.702872,2799999,-17.0
1493836287.615633,2849999,-19.0
1493836893.494246,2899999,-18.0
1493837491.643332,2949999,-17.0
1493838090.846126,2999999,-15.0
1493838689.50323,3049999,-17.0
1493839286.451527,3099999,-18.0
1493839883.831487,3149999,-17.0
1493840484.743567,3199999,-14.0
1493841082.249891,3249999,-17.0
1493841679.273138,3299999,-17.0
1493842278.308644,3349999,-19.0
1493842875.243437,3399999,-18.0
1493843479.635482,3449999,-15.0
1493844077.018522,3499999,-13.0
1493844675.573459,3549999,-13.0
1493845273.389826,3599999,-14.0
1493845876.468342,3649999,-17.0
1493846477.600198,3699999,-16.0
1493847076.316163,3749999,-16.0
1493847675.00565,3799999,-15.0
1493848277.70988,3849999,-16.0
1493848877.045502,3899999,-14.0
1493849477.772998,3949999,-13.0
1493850075.866185,3999999,-11.0
1493850673.637646,4049999,-16.0
1493851274.990116,4099999,-15.0
1493851872.394102,4149999,-18.0
1493852470.147647,4199999,-15.0
1493853070.584838,4249999,-14.0
1493853668.520456,4299999,-15.0
1493854268.123716,4349999,-16.0
1493854863.796305,4399999,-13.0
1493855461.957724,4449999,-13.0
1493856062.41709,4499999,-12.0
1493856660.802192,4549999,-8.0
1493857257.39983,4599999,-15.0
1493857853.994353,4649999,-11.0
1493858450.628299,4699999,-14.0
1493859046.719773,4749999,-14.0
1493859648.215583,4799999,-14.0
1493860247.280394,4849999,-12.0
1493860844.60436,4899999,-14.0
1493861440.942264,4949999,-14.0
1493862038.439002,4999999,-12.0
1493862639.594934,5049999,-10.0
1493863242.528862,5099999,-10.0
1493863839.343246,5149999,-14.0
1493864439.670645,5199999,-9.0
1493865038.29369,5249999,-9.0
1493865636.100449,5299999,-9.0
1493866235.770248,5349999,-10.0
1493866833.762342,5399999,-11.0
1493867433.524952,5449999,-14.0
1493868032.191173,5499999,-11.0
1493868630.536529,5549999,-12.0
1493869229.734458,5599999,-10.0
1493869830.255474,5649999,-13.0
1493870433.476076,5699999,-12.0
1493871048.365152,5749999,-12.0
1493871686.919498,5799999,-12.0
1493872325.73915,5849999,-12.0
1493872949.790965,5899999,-11.0
1493873577.39516,5949999,-14.0
1493874199.808297,5999999,-8.0
1493874819.862362,6049999,-15.0
1493875474.737587,6099999,-9.0
1493876167.276973,6149999,-12.0
1493876782.480321,6199999,-9.0
1493877403.83039,6249999,-12.0
1493878019.664925,6299999,-14.0
1493878629.042341,6349999,-9.0
1493879259.376928,6399999,-8.0
1493879894.063335,6449999,-10.0
1493880518.906039,6499999,-10.0
1493881138.457847,6549999,-10.0
1493881764.337479,6599999,-13.0
1493882384.497085,6649999,-12.0
1493883014.683738,6699999,-13.0
1493883636.899587,6749999,-9.0
1493884261.428614,6799999,-10.0
1493884885.05607,6849999,-10.0
1493885513.644287,6899999,-12.0
1493886132.1897,6949999,-11.0
1493886764.181634,6999999,-10.0
1493887379.635673,7049999,-10.0
1493887998.664676,7099999,-10.0
1493888612.756352,7149999,-7.0
1493889229.617124,7199999,-11.0
1493889849.190849,7249999,-9.0
1493890482.151823,7299999,-12.0
1493891114.5707,7349999,-9.0
1493891750.588789,7399999,-7.0
1493892402.117905,7449999,-11.0
1493893029.193485,7499999,-14.0
1493893654.397746,7549999,-13.0
1493894303.891329,7599999,-9.0
1493894950.260677,7649999,-8.0
1493895562.177004,7699999,-16.0
1493896211.391035,7749999,-9.0
1493896834.287492,7799999,-10.0
1493897458.142709,7849999,-11.0
1493898104.732476,7899999,-9.0
1493898729.368258,7949999,-11.0
1493899353.928247,7999999,-9.0
1493899974.960596,8049999,-12.0
1493900598.090042,8099999,-8.0
1493901221.3608,8149999,-12.0
1493901843.365244,8199999,-13.0
1493902471.208492,8249999,-13.0
1493903108.23008,8299999,-7.0
1493903754.499002,8349999,-11.0
1493904388.927023,8399999,-16.0
1493905009.016717,8449999,-15.0
1493905625.885731,8499999,-7.0
1493906242.403312,8549999,-9.0
1493906954.253138,8599999,-9.0
1493907695.925746,8649999,-8.0
1493908393.14762,8699999,-11.0
1493909118.286518,8749999,-7.0
1493909788.461062,8799999,-10.0
1493910471.480238,8849999,-11.0
1493911127.159044,8899999,-3.0
1493911815.955579,8949999,-12.0
1493912514.823063,8999999,-9.0
1493913219.754396,9049999,-9.0
1493913910.120748,9099999,-12.0
1493914594.467417,9149999,-9.0
1493915343.440103,9199999,-10.0
1493916071.664599,9249999,-7.0
1493916742.584221,9299999,-9.0
1493917394.372444,9349999,-5.0
1493918128.320885,9399999,-12.0
1493918782.249622,9449999,-4.0
1493919466.96834,9499999,-14.0
1493920164.145003,9549999,-5.0
1493920843.207958,9599999,-8.0
1493921573.986452,9649999,-5.0
1493922261.670676,9699999,-6.0
1493922912.856929,9749999,-9.0
1493923598.212339,9799999,-11.0
1493924294.178818,9849999,-8.0
1493924983.353406,9899999,-4.0
1493925641.279013,9949999,-5.0
1493926349.573851,9999999,-12.0
1493927047.894171,10049999,-13.0
1493927731.36644,10099999,-11.0
1493928370.186252,10149999,-10.0
1493929050.935442,10199999,-10.0
1493929764.701115,10249999,-9.0
1493930380.169423,10299999,-7.0
1493931064.730922,10349999,-11.0
1493931731.127998,10399999,-6.0
1493932341.445369,10449999,-7.0
1493932964.534872,10499999,-9.0
1493933714.76611,10549999,-6.0
1493934605.065698,10599999,-6.0
1493935515.115884,10649999,-12.0
1493936422.300198,10699999,-5.0
1493937336.323154,10749999,-9.0
1493938053.550934,10799999,-7.0
1493938730.39331,10849999,-3.0
1493939544.768949,10899999,-15.0
1493940457.309693,10949999,-9.0
1493941330.039896,10999999,-6.0
1493942006.940342,11049999,-6.0
1493942663.980624,11099999,-3.0
1493943319.911605,11149999,-4.0
1493943965.222679,11199999,-11.0
1493944610.437364,11249999,-7.0
1493945264.976496,11299999,-13.0
1493945911.677564,11349999,-6.0
1493946565.383344,11399999,-7.0
1493947234.952475,11449999,-12.0
1493947890.585471,11499999,-7.0
1493948538.385832,11549999,-5.0
1493949184.016195,11599999,-5.0
1493949898.513894,11649999,-7.0
1493950513.508262,11699999,-4.0
1493951118.610051,11749999,-7.0
1493951726.160174,11799999,-5.0
1493952331.524931,11849999,-10.0
1493952939.09752,11899999,-12.0
1493953545.260173,11949999,-4.0
1493954153.771782,11999999,-11.0
1493954760.085536,12049999,-9.0
1493955359.025268,12099999,-13.0
1493955959.129838,12149999,-11.0
1493956560.125957,12199999,-4.0
1493957161.091339,12249999,-2.0
1493958327.390529,12299999,-12.0
1493959528.946333,12349999,-5.0
1493960732.481611,12399999,-9.0
1493961936.975507,12449999,-8.0
1493963144.875973,12499999,-7.0
1493964344.576442,12549999,-2.0
1493965154.990425,12599999,-8.0
1493965755.152456,12649999,-7.0
1493966354.207007,12699999,-5.0
1493966954.631677,12749999,-8.0
1493967554.175504,12799999,-9.0
1493968153.726793,12849999,-9.0
1493968754.285372,12899999,-7.0
1493969355.457312,12949999,-10.0
1493969954.61245,12999999,-13.0
1493970554.652898,13049999,-8.0
1493971154.2249,13099999,-5.0
1493971754.559583,13149999,-9.0
1493972354.09365,13199999,-10.0
1493973448.962235,13249999,-11.0
1493974646.276219,13299999,-11.0
1493975820.523597,13349999,-12.0
1493977022.830572,13399999,-3.0
1493978224.381874,13449999,-11.0
1493979427.520535,13499999,-12.0
1493980628.152853,13549999,-4.0
1493981834.380494,13599999,-10.0
1493983014.5057,13649999,-6.0
1493984216.965621,13699999,-6.0
1493985427.730616,13749999,-4.0
1493986637.675518,13799999,-4.0
1493987850.31085,13849999,-3.0
1493989040.215513,13899999,-5.0
1493990232.310156,13949999,-7.0
1493991417.176631,13999999,-8.0
1493992623.715639,14049999,-16.0
1493993824.0085,14099999,-5.0
1493995017.265528,14149999,-13.0
1493996197.050509,14199999,-4.0
1493997365.720653,14249999,-10.0
1493998514.308841,14299999,-9.0
1493999682.375851,14349999,-9.0
1494000847.679225,14399999,-8.0
1494001761.845533,14449999,-8.0
1494002953.745651,14499999,-9.0
1494004135.178484,14549999,-3.0
1494005304.994179,14599999,-7.0
1494006490.196209,14649999,-7.0
1494007670.547165,14699999,-10.0
1494008860.832166,14749999,-4.0
1494010053.220588,14799999,-8.0
1494011266.095531,14849999,-5.0
1494012457.115968,14899999,-9.0
1494013668.370216,14949999,-2.0
1494014888.668643,14999999,-5.0
1494016099.415655,15049999,-10.0
1494017275.822169,15099999,-5.0
1494018444.925794,15149999,-9.0
1494019627.955996,15199999,-5.0
1494020782.175431,15249999,-1.0
1494021949.474444,15299999,-10.0
1494023063.675047,15349999,-8.0
1494023719.442224,15399999,-8.0
1494024375.076344,15449999,-12.0
1494025038.615746,15499999,-7.0
1494025672.844221,15549999,-5.0
1494026308.373866,15599999,-3.0
1494026946.357234,15649999,-1.0
1494027582.786121,15699999,-8.0
1494028192.660828,15749999,-7.0
1494028838.455723,15799999,-6.0
1494029499.281273,15849999,-6.0
1494030179.851277,15899999,-10.0
1494030848.205777,15949999,-3.0
1494031518.72021,15999999,-11.0
1494032211.133503,16049999,-7.0
1494032854.869374,16099999,-2.0
1494033509.815808,16149999,-4.0
1494034164.070493,16199999,-6.0
1494034822.101088,16249999,-7.0
1494035432.138792,16299999,-12.0
1494036036.154132,16349999,-5.0
1494036639.052939,16399999,-7.0
1494037242.9978,16449999,-3.0
1494037848.695519,16499999,-4.0
1494038451.325102,16549999,-5.0
1494039052.405647,16599999,-6.0
1494039632.349591,16649999,-10.0
1494040205.000646,16699999,-5.0
1494040758.676783,16749999,-9.0
1494041333.17659,16799999,-10.0
1494041914.058069,16849999,-1.0
1494042494.6195,16899999,-10.0
1494043073.872932,16949999,-9.0
1494043663.631905,16999999,-2.0
1494044269.013235,17049999,-3.0
1494044877.431094,17099999,-4.0
1494045484.339293,17149999,-6.0
1494046090.521484,17199999,-5.0
1494046698.909354,17249999,-7.0
1494047303.568157,17299999,-9.0
1494047909.890933,17349999,-7.0
1494048504.954525,17399999,-9.0
1494049104.620048,17449999,-13.0
1494049713.810129,17499999,-4.0
1494050319.578345,17549999,-7.0
1494050925.779558,17599999,-11.0
1494051531.909779,17649999,-9.0
1494052138.135608,17699999,-4.0
1494052745.414516,17749999,-6.0
1494053350.516997,17799999,-7.0
1494053940.396589,17849999,-6.0
1494054544.124255,17899999,-1.0
1494055150.600178,17949999,-7.0
1494055755.829081,17999999,-7.0
1494056362.001031,18049999,-9.0
1494056944.931842,18099999,-5.0
1494057527.634323,18149999,-12.0
1494058113.17133,18199999,-1.0
1494058721.747202,18249999,-1.0
1494059307.899254,18299999,-6.0
1494059875.314676,18349999,-8.0
1494060432.30755,18399999,-5.0
1494061030.351932,18449999,-8.0
1494061690.304255,18499999,-3.0
1494062323.035049,18549999,-8.0
1494062982.607918,18599999,-3.0
1494063641.666485,18649999,-12.0
1494064273.354267,18699999,-11.0
1494064932.788583,18749999,-5.0
1494065564.689907,18799999,-10.0
1494066223.595269,18849999,-8.0
1494066867.535017,18899999,-8.0
1494067499.043435,18949999,-7.0
1494068157.106932,18999999,-10.0
1494068772.027245,19049999,-5.0
1494069406.789057,19099999,-6.0
1494070026.979777,19149999,-4.0
1494070648.260494,19199999,-5.0
1494071307.62126,19249999,-3.0
1494071939.840145,19299999,-7.0
1494072574.203285,19349999,-4.0
1494073195.044999,19399999,-13.0
1494073822.941986,19449999,-3.0
1494074476.551165,19499999,-9.0
1494075085.326359,19549999,-5.0
1494075742.958189,19599999,-5.0
1494076401.267166,19649999,-11.0
1494077025.764822,19699999,-5.0
1494077687.342257,19749999,-6.0
1494078328.033939,19799999,-14.0
1494078993.844946,19849999,-10.0
1494079657.599101,19899999,-7.0
1494080299.858213,19949999,-15.0
1494080963.856505,19999999,-6.0
1494081603.004271,20049999,-8.0
1494082267.140138,20099999,-4.0
1494082924.535527,20149999,-11.0
1494083572.531429,20199999,-6.0
1494084236.990659,20249999,-7.0
1494084877.415617,20299999,-6.0
1494085541.849605,20349999,-8.0
1494086190.696251,20399999,-5.0
1494086845.744124,20449999,-6.0
1494087509.16887,20499999,-5.0
1494088149.211934,20549999,-6.0
1494088815.451881,20599999,-4.0
1494089457.398883,20649999,-9.0
1494090116.420574,20699999,-5.0
1494090779.492516,20749999,-9.0
1494091418.973673,20799999,-8.0
1494092081.132396,20849999,-13.0
1494092720.539436,20899999,-10.0
1494093381.75646,20949999,-7.0
1494094045.178276,20999999,-3.0
1494094685.306354,21049999,-4.0
1494095350.172961,21099999,-7.0
1494095991.867522,21149999,-7.0
1494096657.273561,21199999,-8.0
1494097320.843909,21249999,-5.0
1494097964.351926,21299999,-9.0
1494098629.779326,21349999,-6.0
1494099270.720331,21399999,-4.0
1494099937.288588,21449999,-3.0
1494100598.10076,21499999,-9.0
1494101246.150761,21549999,-8.0
1494101911.902455,21599999,0.0
1494102543.807065,21649999,-7.0
1494103202.800329,21699999,-10.0
1494103841.81736,21749999,-6.0
1494104494.705074,21799999,-6.0
1494105156.625178,21849999,-2.0
1494105790.9344,21899999,-13.0
1494106453.266113,21949999,-4.0
1494107087.815179,21999999,-3.0
1494107749.622023,22049999,-13.0
1494108401.900759,22099999,-3.0
1494109046.037426,22149999,-4.0
1494109708.638937,22199999,-5.0
1494110341.776361,22249999,-9.0
1494111004.222473,22299999,-5.0
1494111640.489406,22349999,-7.0
1494112301.924317,22399999,-6.0
1494112953.644123,22449999,-15.0
1494113556.927749,22499999,-6.0
1494114181.946396,22549999,-10.0
1494114783.010386,22599999,-9.0
1494115431.990495,22649999,-3.0
1494116064.934231,22699999,-10.0
1494116724.61679,22749999,-5.0
1494117383.045928,22799999,-6.0
1494118017.891913,22849999,-7.0
1494118679.036276,22899999,-4.0
1494119310.977559,22949999,-5.0
1494119970.043601,22999999,-11.0
1494120606.423233,23049999,-4.0
1494121263.677351,23099999,-1.0
