Wall time,Step,Value
1493801447.669601,99999,-7.0
1493802030.752681,149999,-13.0
1493802618.02285,199999,-15.0
1493803214.729224,249999,-10.0
1493803810.703647,299999,-7.0
1493804411.691703,349999,-9.0
1493805018.091808,399999,-13.0
1493805625.994589,449999,-6.0
1493806238.390095,499999,-9.0
1493806857.713334,549999,-17.0
1493807477.189462,599999,-17.0
1493808103.467728,649999,-2.0
1493808731.771624,699999,-15.0
1493809364.408197,749999,-1.0
1493810000.603082,799999,-1.0
1493810640.626847,849999,-10.0
1493811282.392715,899999,-10.0
1493811927.088646,949999,-7.0
1493812592.396882,999999,-2.0
1493813259.452244,1049999,1.0
1493813927.575639,1099999,0.0
1493814583.332809,1149999,-4.0
1493815235.960206,1199999,-9.0
1493815888.277036,1249999,-9.0
1493816539.716365,1299999,-7.0
1493817189.4647,1349999,-8.0
1493817839.685507,1399999,-9.0
1493818493.079493,1449999,-8.0
1493819146.053602,1499999,-8.0
1493819797.133087,1549999,-7.0
1493820452.687513,1599999,-9.0
1493821105.127256,1649999,-4.0
1493821759.17039,1699999,-5.0
1493822418.684388,1749999,-7.0
1493823110.292617,1799999,-2.0
1493823808.583131,1849999,-1.0
1493824506.107242,1899999,-2.0
1493825185.802693,1949999,-5.0
1493825865.200588,1999999,-7.0
1493826543.527207,2049999,1.0
1493827222.037216,2099999,-1.0
1493827902.180378,2149999,-2.0
1493828581.452573,2199999,-1.0
1493829260.260492,2249999,0.0
1493829938.094221,2299999,-2.0
1493830617.719133,2349999,-1.0
1493831298.457462,2399999,6.0
1493831979.48275,2449999,1.0
1493832657.548161,2499999,0.0
1493833338.613255,2549999,0.0
1493834017.216404,2599999,4.0
1493834696.702006,2649999,7.0
1493835366.009476,2699999,6.0
1493836044.571076,2749999,3.0
1493836722.635976,2799999,10.0
1493837402.865504,2849999,7.0
1493838080.970656,2899999,7.0
1493838758.49444,2949999,8.0
1493839436.788181,2999999,16.0
1493840115.371505,3049999,7.0
1493840793.383099,3099999,9.0
1493841470.892772,3149999,7.0
1493842148.485989,3199999,7.0
1493842826.207138,3249999,8.0
1493843503.344359,3299999,12.0
1493844181.770777,3349999,10.0
1493844859.128208,3399999,12.0
1493845535.227642,3449999,11.0
1493846215.183029,3499999,9.0
1493846894.346673,3549999,7.0
1493847557.367111,3599999,11.0
1493848217.623973,3649999,8.0
1493848878.432737,3699999,14.0
1493849512.445292,3749999,13.0
1493850139.092651,3799999,12.0
1493850767.562535,3849999,5.0
1493851395.381928,3899999,12.0
1493852023.488344,3949999,7.0
1493852650.030537,3999999,8.0
1493853277.63434,4049999,13.0
1493853904.618046,4099999,13.0
1493854532.69221,4149999,8.0
1493855161.028781,4199999,12.0
1493855787.341989,4249999,12.0
1493856414.872454,4299999,10.0
1493857042.127507,4349999,11.0
1493857670.367203,4399999,11.0
1493858298.282025,4449999,13.0
1493858926.815919,4499999,16.0
1493859553.915363,4549999,11.0
1493860181.948764,4599999,14.0
1493860809.507087,4649999,12.0
1493861436.198376,4699999,11.0
1493862062.040931,4749999,10.0
1493862690.280375,4799999,6.0
1493863320.134301,4849999,13.0
1493863946.992048,4899999,11.0
1493864576.668121,4949999,14.0
1493865203.903649,4999999,16.0
1493865833.943076,5049999,11.0
1493866462.519137,5099999,13.0
1493867091.30656,5149999,16.0
1493867719.792262,5199999,13.0
1493868346.80041,5249999,11.0
1493868975.079568,5299999,11.0
1493869603.094076,5349999,14.0
1493870232.021495,5399999,10.0
1493870859.027848,5449999,13.0
1493871486.697638,5499999,13.0
1493872114.002653,5549999,14.0
1493872742.202451,5599999,16.0
1493873371.144152,5649999,10.0
1493873999.823371,5699999,11.0
1493874629.572039,5749999,12.0
1493875257.399412,5799999,11.0
1493875885.641405,5849999,12.0
1493876515.326048,5899999,12.0
1493877145.109513,5949999,14.0
1493877773.858053,5999999,14.0
1493878402.451617,6049999,12.0
1493879031.09226,6099999,16.0
1493879659.933973,6149999,12.0
1493880290.031536,6199999,13.0
1493880918.414122,6249999,12.0
1493881546.745744,6299999,10.0
1493882174.502102,6349999,12.0
1493882802.947275,6399999,15.0
1493883432.130636,6449999,10.0
1493884059.762665,6499999,12.0
1493884686.006625,6549999,13.0
1493885313.736385,6599999,15.0
1493885941.397717,6649999,14.0
1493886569.308349,6699999,16.0
1493887197.862264,6749999,14.0
1493887829.046445,6799999,17.0
1493888458.21244,6849999,16.0
1493889086.776955,6899999,15.0
1493889714.684576,6949999,16.0
1493890343.784223,6999999,16.0
1493891004.59349,7049999,13.0
1493891676.523226,7099999,17.0
1493892351.246624,7149999,16.0
1493893024.981939,7199999,14.0
1493893700.608063,7249999,10.0
1493894376.10858,7299999,13.0
1493895051.067015,7349999,15.0
1493895726.172524,7399999,12.0
1493896401.371408,7449999,14.0
1493897074.392441,7499999,16.0
1493897750.745263,7549999,14.0
1493898425.72313,7599999,11.0
1493899104.037859,7649999,11.0
1493899780.242222,7699999,15.0
1493900458.043721,7749999,14.0
1493901134.707538,7799999,15.0
1493901808.618597,7849999,11.0
1493902486.009941,7899999,18.0
1493903162.660718,7949999,19.0
1493903836.2193,7999999,13.0
1493904513.750125,8049999,14.0
1493905190.009526,8099999,13.0
1493905866.669057,8149999,14.0
1493906542.79456,8199999,19.0
1493907217.558686,8249999,18.0
1493907893.752331,8299999,13.0
1493908571.685672,8349999,17.0
1493909247.061075,8399999,14.0
1493909925.153178,8449999,11.0
1493910600.580158,8499999,13.0
1493911274.623427,8549999,17.0
1493911955.569805,8599999,17.0
1493912631.16991,8649999,17.0
1493913310.125886,8699999,16.0
1493913987.273591,8749999,13.0
1493914665.666035,8799999,17.0
1493915344.972178,8849999,17.0
1493916003.261545,8899999,15.0
1493916658.716862,8949999,13.0
1493917314.640805,8999999,18.0
1493917964.622064,9049999,17.0
1493918614.244281,9099999,16.0
1493919265.709714,9149999,16.0
1493919919.448435,9199999,14.0
1493920571.770704,9249999,15.0
1493921224.614307,9299999,13.0
1493921877.296979,9349999,14.0
1493922529.41615,9399999,12.0
1493923183.13744,9449999,17.0
1493923839.392605,9499999,14.0
1493924492.30406,9549999,13.0
1493925144.119836,9599999,15.0
1493925783.694573,9649999,16.0
1493926437.340764,9699999,14.0
1493927087.018213,9749999,16.0
1493927732.681257,9799999,15.0
1493928379.46312,9849999,11.0
1493929025.266267,9899999,15.0
1493929673.100002,9949999,17.0
1493930322.812152,9999999,16.0
1493930971.364488,10049999,14.0
1493931623.719954,10099999,17.0
1493932269.543486,10149999,16.0
