Wall time,Step,Value
1493802628.736204,99999,-9.0
1493803211.460665,149999,-6.0
1493803818.124718,199999,-17.0
1493804440.260772,249999,-16.0
1493805029.514602,299999,-17.0
1493805629.368117,349999,-5.0
1493806262.580736,399999,-8.0
1493806864.850183,449999,-1.0
1493807466.739423,499999,-16.0
1493808082.123065,549999,-15.0
1493808712.781301,599999,-10.0
1493809324.195668,649999,0.0
1493809956.102247,699999,-2.0
1493810603.557397,749999,-2.0
1493811245.318168,799999,-14.0
1493811871.170046,849999,-15.0
1493812505.071561,899999,-6.0
1493813136.024147,949999,-11.0
1493813768.319887,999999,-8.0
1493814418.355651,1049999,-10.0
1493815061.105051,1099999,-4.0
1493815732.293763,1149999,-8.0
1493816371.468461,1199999,-4.0
1493817009.909298,1249999,-3.0
1493817648.543796,1299999,-2.0
1493818288.599634,1349999,-1.0
1493818931.143064,1399999,-5.0
1493819562.289634,1449999,-4.0
1493820195.8511,1499999,-4.0
1493820851.536928,1549999,-5.0
1493821518.877852,1599999,-5.0
1493822178.520826,1649999,6.0
1493822879.825809,1699999,0.0
1493823582.534899,1749999,-1.0
1493824288.480775,1799999,-1.0
1493824990.57993,1849999,6.0
1493825708.507092,1899999,6.0
1493826435.898808,1949999,0.0
1493827161.140469,1999999,0.0
1493827876.820023,2049999,-1.0
1493828590.669159,2099999,-2.0
1493829310.000813,2149999,-2.0
1493830054.008176,2199999,2.0
1493830774.115894,2249999,-2.0
1493831494.739854,2299999,0.0
1493832212.256336,2349999,3.0
1493832939.655634,2399999,1.0
1493833656.513689,2449999,13.0
1493834377.792306,2499999,-1.0
1493835104.609202,2549999,3.0
1493835820.562164,2599999,5.0
1493836563.860605,2649999,0.0
1493837288.420303,2699999,11.0
1493838000.215737,2749999,8.0
1493838730.98125,2799999,6.0
1493839462.312308,2849999,2.0
1493840191.498013,2899999,7.0
1493840919.814176,2949999,6.0
1493841660.521147,2999999,10.0
1493842419.650403,3049999,8.0
1493843149.986396,3099999,4.0
1493843859.147888,3149999,8.0
1493844557.796845,3199999,4.0
1493845247.376827,3249999,11.0
1493845911.051273,3299999,3.0
