Wall time,Step,Value
1493808812.097631,99999,-8.0
1493810487.198315,249999,-15.0
1493811626.624617,349999,-5.0
1493812202.642998,399999,-16.0
1493812781.826118,449999,-14.0
1493813364.92407,499999,-8.0
1493813951.543755,549999,0.0
1493814541.7592,599999,-13.0
1493815135.364062,649999,-2.0
1493815732.460078,699999,-11.0
1493818754.886586,949999,-6.0
1493819362.689604,999999,0.0
1493819973.377542,1049999,-13.0
1493820588.229562,1099999,-5.0
1493821201.00227,1149999,-7.0
1493821814.112224,1199999,-7.0
1493822426.357484,1249999,-12.0
1493823039.401472,1299999,-13.0
1493823652.229905,1349999,-5.0
1493824878.788455,1449999,-10.0
1493826100.321174,1549999,-2.0
1493827929.908286,1699999,-10.0
1493828540.831251,1749999,-7.0
1493829153.568962,1799999,-6.0
1493829764.623447,1849999,-9.0
1493830374.47192,1899999,-8.0
1493830985.395467,1949999,0.0
1493831596.410458,1999999,-8.0
1493832207.771315,2049999,-8.0
1493832820.330985,2099999,-8.0
1493833431.481657,2149999,-7.0
1493834043.095358,2199999,-5.0
1493835265.59097,2299999,-9.0
1493835876.268028,2349999,-8.0
1493836487.010857,2399999,-6.0
1493837097.777065,2449999,-5.0
1493837708.99379,2499999,-6.0
1493838319.677149,2549999,-1.0
1493839542.489985,2649999,-4.0
1493840764.184642,2749999,-5.0
1493841374.423592,2799999,-4.0
1493841985.394692,2849999,0.0
1493842596.272704,2899999,0.0
1493843206.986306,2949999,1.0
1493843817.001718,2999999,-6.0
1493844426.836161,3049999,0.0
1493845037.846079,3099999,0.0
1493845648.929309,3149999,-2.0
1493848090.782099,3349999,-4.0
1493849918.482828,3499999,0.0
1493851135.354874,3599999,0.0
1493851744.129465,3649999,2.0
1493852348.484854,3699999,10.0
1493852953.710443,3749999,6.0
1493854163.472238,3849999,2.0
1493855374.027327,3949999,10.0
1493855978.792695,3999999,5.0
1493856583.809823,4049999,5.0
1493857794.210842,4149999,2.0
1493858399.928335,4199999,8.0
1493859005.257579,4249999,8.0
1493859610.818088,4299999,7.0
1493860215.987198,4349999,10.0
1493861425.858118,4449999,9.0
1493862030.767978,4499999,11.0
1493862635.561,4549999,9.0
1493863240.6981,4599999,8.0
1493863845.179712,4649999,7.0
1493864449.78323,4699999,8.0
1493865659.194249,4799999,11.0
1493866262.877889,4849999,12.0
1493866867.371356,4899999,13.0
1493867470.92859,4949999,10.0
1493868074.64915,4999999,8.0
1493869283.889841,5099999,12.0
1493869888.663149,5149999,9.0
1493870492.248999,5199999,8.0
1493872304.807239,5349999,15.0
1493872910.127875,5399999,9.0
1493873518.049068,5449999,10.0
1493874122.681369,5499999,14.0
1493874727.715164,5549999,11.0
1493876540.849032,5699999,9.0
1493877145.719968,5749999,9.0
1493877750.649887,5799999,15.0
1493878961.59627,5899999,12.0
1493880173.213207,5999999,13.0
1493882596.306946,6199999,10.0
1493883200.878016,6249999,8.0
