Wall time,Step,Value
1493802140.121213,99999,-7.0
1493802699.635283,149999,-16.0
1493803262.437867,199999,-12.0
1493803815.216236,249999,-5.0
1493804426.949127,299999,-2.0
1493805034.478799,349999,0.0
1493805599.921882,399999,-9.0
1493806182.697822,449999,-16.0
1493806755.713126,499999,-10.0
1493807342.895481,549999,-5.0
1493807917.249409,599999,-16.0
1493808520.309683,649999,-9.0
1493809152.190288,699999,-14.0
1493809800.05977,749999,0.0
1493810428.827063,799999,-9.0
1493811083.692489,849999,-10.0
1493811726.861509,899999,-7.0
1493812381.258321,949999,-11.0
1493813010.867497,999999,-10.0
1493813630.765117,1049999,-8.0
1493814264.950675,1099999,-6.0
1493814904.396511,1149999,0.0
1493815530.089736,1199999,-10.0
1493816143.123414,1249999,-4.0
1493816742.394979,1299999,-6.0
1493817341.816667,1349999,-6.0
1493817950.420786,1399999,-6.0
1493818578.317751,1449999,-5.0
1493819198.738492,1499999,-3.0
1493819828.626746,1549999,-6.0
1493820423.920715,1599999,-6.0
1493821110.322798,1649999,-1.0
1493821737.898005,1699999,-7.0
1493822386.063882,1749999,-6.0
1493823172.673111,1799999,-3.0
1493823768.960603,1849999,-2.0
1493824384.952336,1899999,-3.0
1493824995.665088,1949999,-1.0
1493825592.064816,1999999,-2.0
1493826199.765465,2049999,-3.0
1493826796.956041,2099999,0.0
1493827402.034837,2149999,0.0
1493828010.428302,2199999,-1.0
1493828612.082949,2249999,-2.0
1493829212.315985,2299999,1.0
1493829821.653098,2349999,0.0
1493830439.804635,2399999,6.0
1493831043.686465,2449999,1.0
1493831655.862265,2499999,2.0
1493832262.253158,2549999,4.0
1493832871.727805,2599999,1.0
1493833477.930598,2649999,-1.0
1493834092.683838,2699999,3.0
1493834700.557595,2749999,1.0
1493835339.749779,2799999,1.0
1493835944.211411,2849999,2.0
1493836552.479229,2899999,8.0
1493837158.705335,2949999,4.0
1493837763.726795,2999999,5.0
1493838373.314959,3049999,9.0
1493838995.592369,3099999,9.0
1493839595.544214,3149999,6.0
1493840243.693063,3199999,5.0
1493840852.164471,3249999,11.0
1493841455.374007,3299999,6.0
1493842051.412074,3349999,6.0
1493842651.24687,3399999,10.0
1493843261.200958,3449999,6.0
1493843889.631926,3499999,10.0
1493844485.400432,3549999,6.0
1493845087.848781,3599999,9.0
1493845680.069068,3649999,10.0
1493846283.940884,3699999,12.0
1493846881.368466,3749999,17.0
1493847496.74741,3799999,13.0
1493848101.854601,3849999,10.0
1493848706.721976,3899999,10.0
1493849316.879274,3949999,13.0
1493849906.745163,3999999,15.0
1493850502.229418,4049999,6.0
1493851098.587462,4099999,12.0
1493851703.543421,4149999,13.0
1493852461.419166,4199999,11.0
1493853057.181709,4249999,11.0
1493853653.432878,4299999,11.0
1493854248.477735,4349999,8.0
1493854849.314894,4399999,15.0
1493855501.928602,4449999,10.0
1493856102.682709,4499999,11.0
1493856847.625027,4549999,12.0
1493857495.869829,4599999,11.0
1493858102.06527,4649999,14.0
1493858699.808506,4699999,10.0
1493859296.919795,4749999,9.0
1493859913.453266,4799999,12.0
1493860515.166633,4849999,10.0
1493861117.673616,4899999,9.0
1493861726.249765,4949999,13.0
1493862324.382317,4999999,9.0
1493862946.915263,5049999,12.0
1493863547.24303,5099999,10.0
1493864278.420856,5149999,14.0
1493864873.466893,5199999,13.0
1493865707.46495,5249999,15.0
1493866429.368683,5299999,13.0
1493867063.531407,5349999,12.0
1493867778.84598,5399999,8.0
1493868440.579525,5449999,9.0
1493869032.362084,5499999,15.0
1493869624.628865,5549999,9.0
1493870223.003249,5599999,10.0
1493870827.329324,5649999,12.0
1493871586.152861,5699999,16.0
1493872186.337058,5749999,14.0
1493872786.950685,5799999,16.0
1493873510.918822,5849999,13.0
1493874102.472402,5899999,11.0
1493874807.494453,5949999,12.0
1493875449.944081,5999999,13.0
1493876075.671816,6049999,15.0
1493876673.389676,6099999,14.0
1493877259.956724,6149999,9.0
1493877854.129299,6199999,15.0
1493878446.918563,6249999,12.0
1493879043.5423,6299999,14.0
1493879631.935661,6349999,14.0
1493880222.570877,6399999,14.0
1493880817.094731,6449999,14.0
1493881409.059816,6499999,15.0
1493881999.391272,6549999,15.0
1493882599.689076,6599999,12.0
1493883254.135571,6649999,12.0
1493883877.796765,6699999,16.0
1493884487.082327,6749999,14.0
1493885120.143482,6799999,12.0
1493885710.409117,6849999,15.0
1493886304.258494,6899999,15.0
1493886893.00635,6949999,9.0
1493887490.105042,6999999,17.0
1493888091.762919,7049999,14.0
1493888691.004649,7099999,14.0
1493889279.113179,7149999,13.0
1493889876.694129,7199999,18.0
1493890495.741708,7249999,14.0
1493891081.135893,7299999,16.0
1493891671.03235,7349999,13.0
1493892292.937882,7399999,18.0
1493892878.168673,7449999,14.0
1493893511.325592,7499999,14.0
1493894209.720625,7549999,16.0
1493894806.001199,7599999,14.0
1493895402.325165,7649999,15.0
1493896115.3805,7699999,14.0
1493896945.59461,7749999,16.0
1493897547.329802,7799999,13.0
1493898143.938557,7849999,14.0
1493898824.999029,7899999,13.0
1493899414.12705,7949999,15.0
1493900011.702363,7999999,11.0
1493900621.873482,8049999,10.0
1493901215.516899,8099999,16.0
1493901823.573159,8149999,15.0
1493902429.87784,8199999,15.0
1493903031.094607,8249999,14.0
1493903631.113201,8299999,14.0
1493904230.116857,8349999,17.0
1493904810.266341,8399999,15.0
1493905386.964908,8449999,12.0
1493905963.714589,8499999,11.0
1493906540.369206,8549999,16.0
1493907118.323102,8599999,14.0
1493907878.669089,8649999,14.0
1493908730.275424,8699999,14.0
1493909601.573228,8749999,17.0
1493910451.678789,8799999,16.0
1493911311.740746,8849999,16.0
1493912171.088438,8899999,14.0
1493913020.905853,8949999,15.0
1493913876.248766,8999999,15.0
1493914711.196154,9049999,18.0
1493915418.762126,9099999,15.0
1493916161.768704,9149999,13.0
1493916879.554874,9199999,14.0
1493917671.095572,9249999,13.0
1493918417.105133,9299999,15.0
1493919186.161142,9349999,16.0
1493919941.169354,9399999,13.0
1493920670.410619,9449999,14.0
1493921423.61253,9499999,17.0
1493922391.829582,9549999,14.0
1493923565.090096,9599999,15.0
1493924737.944449,9649999,13.0
1493925842.621166,9699999,13.0
1493926630.034677,9749999,13.0
1493927235.262027,9799999,14.0
1493927838.173936,9849999,15.0
1493928484.225175,9899999,14.0
1493929550.213007,9949999,14.0
1493930644.760525,9999999,15.0
1493931687.812834,10049999,16.0
1493932318.719416,10099999,16.0
1493932934.300197,10149999,16.0
1493933982.245146,10199999,13.0
1493935090.600643,10249999,18.0
1493936166.495616,10299999,15.0
1493937268.629009,10349999,13.0
1493938355.978794,10399999,13.0
1493939424.317233,10449999,14.0
1493940459.767903,10499999,13.0
1493941527.945129,10549999,16.0
1493942583.533587,10599999,16.0
1493943657.91098,10649999,12.0
1493944676.184305,10699999,15.0
1493945703.200596,10749999,16.0
1493946759.294759,10799999,15.0
1493947819.5503,10849999,13.0
1493948639.10776,10899999,14.0
1493949226.352995,10949999,16.0
1493949813.340513,10999999,14.0
1493950449.893284,11049999,14.0
1493951561.027938,11099999,13.0
1493952269.258097,11149999,16.0
1493952884.520578,11199999,14.0
1493953499.787701,11249999,18.0
1493954115.412989,11299999,17.0
1493954730.299594,11349999,16.0
1493955317.337028,11399999,15.0
