Wall time,Step,Value
1493802628.736786,99999,169.0
1493803211.461241,149999,168.0
1493803818.125298,199999,167.0
1493804440.261347,249999,171.0
1493805029.515176,299999,171.0
1493805629.368953,349999,171.0
1493806262.581314,399999,173.0
1493806864.850772,449999,175.0
1493807466.739996,499999,172.0
1493808082.123893,549999,167.0
1493808712.78194,599999,166.0
1493809324.196241,649999,168.0
1493809956.103332,699999,160.0
1493810603.558227,749999,155.0
1493811245.318744,799999,135.0
1493811871.170612,849999,126.0
1493812505.072125,899999,121.0
1493813136.024957,949999,112.0
1493813768.320459,999999,107.0
1493814418.35622,1049999,95.0
1493815061.105356,1099999,87.0
1493815732.294335,1149999,85.0
1493816371.469024,1199999,85.0
1493817009.90987,1249999,85.0
1493817648.544363,1299999,80.0
1493818288.600198,1349999,78.0
1493818931.143624,1399999,80.0
1493819562.290196,1449999,78.0
1493820195.851667,1499999,77.0
1493820851.537503,1549999,74.0
1493821518.878559,1599999,74.0
1493822178.521492,1649999,74.0
1493822879.826406,1699999,72.0
1493823582.535465,1749999,70.0
1493824288.481341,1799999,74.0
1493824990.580506,1849999,70.0
1493825708.507665,1899999,67.0
1493826435.899378,1949999,70.0
1493827161.141036,1999999,67.0
1493827876.820595,2049999,69.0
1493828590.669737,2099999,66.0
1493829310.001635,2149999,64.0
1493830054.008754,2199999,60.0
1493830774.116467,2249999,62.0
1493831494.740424,2299999,64.0
1493832212.256905,2349999,59.0
1493832939.656191,2399999,61.0
1493833656.514251,2449999,60.0
1493834377.79315,2499999,60.0
1493835104.610039,2549999,60.0
1493835820.563961,2599999,57.0
1493836563.861171,2649999,61.0
1493837288.420875,2699999,57.0
1493838000.216302,2749999,55.0
1493838730.981829,2799999,56.0
1493839462.314088,2849999,52.0
1493840191.498812,2899999,51.0
1493840919.8145,2949999,54.0
1493841660.521954,2999999,51.0
1493842419.650972,3049999,51.0
1493843149.987122,3099999,50.0
1493843859.148597,3149999,48.0
1493844557.797418,3199999,48.0
1493845247.377399,3249999,47.0
1493845911.051854,3299999,48.0
1493846563.574707,3349999,44.0
1493847241.303909,3399999,46.0
1493847902.248701,3449999,45.0
1493848538.866702,3499999,44.0
1493849188.273644,3549999,42.0
1493849821.674057,3599999,43.0
1493850454.534236,3649999,40.0
1493851096.853145,3699999,40.0
1493851797.674583,3749999,41.0
1493852429.021668,3799999,42.0
1493853071.745161,3849999,42.0
1493853707.05373,3899999,40.0
1493854351.430077,3949999,40.0
1493854984.158571,3999999,41.0
1493855623.183754,4049999,40.0
1493856258.220714,4099999,38.0
1493856893.323671,4149999,41.0
1493857535.869048,4199999,41.0
1493858168.671534,4249999,40.0
1493858801.413337,4299999,39.0
1493859446.969662,4349999,38.0
1493860083.603544,4399999,38.0
1493860743.295119,4449999,37.0
1493861378.324358,4499999,39.0
1493862039.73054,4549999,38.0
1493862692.02994,4599999,39.0
1493863323.954111,4649999,39.0
