Wall time,Step,Value
1493808853.597921,99999,168.0
1493809450.14856,149999,168.0
1493810054.678741,199999,171.0
1493810664.221529,249999,172.0
1493811281.088651,299999,171.0
1493811902.328852,349999,171.0
1493812529.688198,399999,170.0
1493813171.068164,449999,170.0
1493813813.316314,499999,170.0
1493814437.975064,549999,168.0
1493815070.458161,599999,172.0
1493815721.728638,649999,167.0
1493816380.747681,699999,165.0
1493817047.040351,749999,160.0
1493817718.334403,799999,154.0
1493818395.166401,849999,134.0
1493819078.081837,899999,118.0
1493819765.570492,949999,111.0
1493820456.178633,999999,107.0
1493821154.843385,1049999,97.0
1493821864.788823,1099999,88.0
1493822551.546988,1149999,83.0
1493823245.743751,1199999,81.0
1493823937.777776,1249999,76.0
1493824631.377367,1299999,79.0
1493825327.37532,1349999,76.0
1493826022.677273,1399999,71.0
1493826721.036284,1449999,69.0
1493827417.836298,1499999,66.0
1493828115.295135,1549999,66.0
1493828821.691461,1599999,66.0
1493829521.810568,1649999,66.0
1493830209.242813,1699999,63.0
1493830898.926409,1749999,62.0
1493831590.957084,1799999,64.0
1493832283.174517,1849999,64.0
1493832978.873703,1899999,60.0
1493833674.907376,1949999,58.0
1493834371.603086,1999999,57.0
1493835067.0459,2049999,59.0
1493835763.374174,2099999,55.0
1493836469.056584,2149999,53.0
1493837169.245086,2199999,57.0
1493837843.3824,2249999,53.0
1493838518.779455,2299999,54.0
1493839196.159278,2349999,55.0
1493839875.703535,2399999,52.0
1493840558.036602,2449999,53.0
1493841240.185726,2499999,55.0
1493841923.322357,2549999,51.0
1493842606.524468,2599999,50.0
1493843290.164661,2649999,51.0
1493843976.655328,2699999,49.0
1493844663.189262,2749999,49.0
1493845350.028983,2799999,47.0
1493846050.643602,2849999,50.0
1493846732.245816,2899999,46.0
1493847399.504714,2949999,48.0
1493848066.108563,2999999,49.0
1493848731.586289,3049999,47.0
1493849392.308632,3099999,47.0
1493850054.808148,3149999,45.0
1493850715.381616,3199999,46.0
1493851376.378676,3249999,45.0
1493852037.15776,3299999,43.0
1493852696.897185,3349999,44.0
1493853356.156115,3399999,44.0
1493854015.493756,3449999,43.0
1493854674.743761,3499999,45.0
1493855334.538589,3549999,46.0
