,summary/Pong-v0-detail/average.loss,summary/Pong-v0-detail/episode.max_reward,summary/Pong-v0-detail/episode.min_reward,summary/Pong-v0-detail/average.q,summary/Pong-v0-detail/episode.avg_reward,summary/Pong-v0-detail/average.reward,summary/Pong-v0-detail/episode.num_of_game,summary/Pong-v0-detail/training.learning_rate
46,0.00468234485015,-8.0,-20.0,-4.48862218857,-19.6312847137,-0.0706600025296,179.0,0.000250000011874
47,0.00460211094469,-1.0,-20.0,-4.4750418663,-19.6000003815,-0.0708400011063,180.0,0.000250000011874
48,0.00476166605949,-6.0,-20.0,-4.51421880722,-19.5224723816,-0.0696400031447,178.0,0.000250000011874
49,0.00466881599277,-13.0,-20.0,-4.51579380035,-19.5730342865,-0.0698999986053,178.0,0.000250000011874
50,0.0045214695856,-9.0,-20.0,-4.49035644531,-19.5505619049,-0.0696199983358,178.0,0.000250000011874
51,0.00443792156875,-17.0,-20.0,-4.52498722076,-19.6420459747,-0.0693000033498,176.0,0.000250000011874
52,0.00434487871826,-12.0,-20.0,-4.54651069641,-19.5617980957,-0.0698399990797,178.0,0.000250000011874
53,0.00435669720173,-9.0,-20.0,-4.52200078964,-19.5932197571,-0.0693800002337,177.0,0.000250000011874
54,0.00435617053881,-18.0,-20.0,-4.44958972931,-19.6477279663,-0.069399997592,176.0,0.000250000011874
55,0.00418307399377,-8.0,-20.0,-4.45586395264,-19.5674152374,-0.0698399990797,178.0,0.000250000011874
56,0.00419016042724,-10.0,-20.0,-4.48861551285,-19.5944442749,-0.0706000030041,180.0,0.000250000011874
57,0.00421393942088,-17.0,-20.0,-4.49408435822,-19.5754184723,-0.0702800005674,179.0,0.000250000011874
58,0.00432869046926,-9.0,-20.0,-4.48754453659,-19.4406776428,-0.0689600035548,177.0,0.000250000011874
59,0.00442093517631,-13.0,-20.0,-4.52735137939,-19.4134082794,-0.0698800012469,179.0,0.000250000011874
60,0.00440555298701,-1.0,-20.0,-4.51806688309,-19.3333339691,-0.0688199996948,177.0,0.000250000011874
61,0.00461011612788,-1.0,-20.0,-4.51012706757,-19.3295459747,-0.068060003221,176.0,0.000250000011874
62,0.00469356961548,-17.0,-20.0,-4.50657320023,-19.5280895233,-0.0695199966431,178.0,0.000250000011874
63,0.00475884322077,-16.0,-20.0,-4.54636287689,-19.6214694977,-0.0697999969125,177.0,0.000250000011874
64,0.00482606561854,-3.0,-20.0,-4.50134897232,-19.3011360168,-0.0679399967194,176.0,0.000250000011874
65,0.00488198036328,-17.0,-20.0,-4.43488740921,-19.4519767761,-0.0689200013876,177.0,0.000250000011874
66,0.00472320616245,-17.0,-20.0,-4.36836671829,-19.405714035,-0.067919999361,175.0,0.000250000011874
67,0.00475041288882,-17.0,-20.0,-4.36643791199,-19.2965106964,-0.0667399987578,172.0,0.000250000011874
68,0.00497034750879,-1.0,-20.0,-4.35103178024,-19.1052627563,-0.065719999373,171.0,0.000250000011874
69,0.0049934387207,-1.0,-20.0,-4.29628801346,-19.0898208618,-0.0640000030398,167.0,0.000250000011874
70,0.00554050272331,-7.0,-20.0,-4.28048372269,-18.8734169006,-0.0597000010312,158.0,0.000250000011874
71,0.00606759823859,-13.0,-20.0,-4.13955640793,-18.4055938721,-0.0528599992394,143.0,0.000250000011874
72,0.00655610859394,-8.0,-20.0,-4.03208255768,-18.0072994232,-0.0495399981737,137.0,0.000250000011874
73,0.00728223333135,-8.0,-20.0,-3.96825385094,-17.8120307922,-0.0476800017059,133.0,0.000250000011874
74,0.00744629325345,-4.0,-20.0,-3.75675225258,-17.1280002594,-0.0428999997675,125.0,0.000250000011874
75,0.00780464662239,-12.0,-20.0,-3.62231373787,-16.5263156891,-0.0378599986434,114.0,0.000250000011874
76,0.00783989392221,-5.0,-20.0,-3.57838487625,-16.3333339691,-0.0385399982333,117.0,0.000250000011874
