,average.loss,average.q,average.reward,episode.avg_reward,episode.max_reward,episode.min_reward,episode.num_of_game,training.learning_rate
0,0.03394447639584541,-0.1789756417274475,-0.06672000139951706,-19.54117584228516,-12.0,-20.0,170.0,0.00025000001187436277
1,0.0332694947719574,-0.4524079859256744,-0.06573999673128128,-19.5,-5.0,-20.0,168.0,0.00025000001187436277
2,0.033233866095542915,-0.68424391746521,-0.06667999923229218,-19.47953224182129,-9.0,-20.0,171.0,0.00025000001187436277
3,0.030558235943317413,-0.8701081871986389,-0.06842000037431717,-19.586206436157227,-17.0,-20.0,174.0,0.00025000001187436277
4,0.020974626764655117,-1.0632244348525999,-0.06775999814271927,-19.526012420654297,-7.0,-20.0,173.0,0.00025000001187436277
5,0.01706715114414692,-1.2871493101119995,-0.06734000146389008,-19.523256301879886,-9.0,-20.0,172.0,0.00025000001187436277
6,0.014416695572435856,-1.4945160150527954,-0.06865999847650528,-19.54857063293457,-9.0,-20.0,175.0,0.00025000001187436277
7,0.013123873621225357,-1.7106103897094729,-0.06722000241279602,-19.48837280273437,-8.0,-20.0,172.0,0.00025000001187436277
8,0.012451164424419405,-1.8616796731948853,-0.06526000052690506,-19.303571701049805,-11.0,-20.0,168.0,0.00025000001187436277
9,0.012208736501634121,-2.016855001449585,-0.06623999774456024,-19.29239845275879,0.0,-20.0,171.0,0.00025000001187436277
10,0.012212865985929966,-2.1828293800354004,-0.06483999639749527,-19.177515029907227,-6.0,-20.0,169.0,0.00025000001187436277
11,0.01211282890290022,-2.29491925239563,-0.0623599998652935,-19.234567642211914,-16.0,-20.0,162.0,0.00025000001187436277
12,0.012088235467672348,-2.3293530941009517,-0.06136000156402587,-19.09375,-16.0,-20.0,160.0,0.00025000001187436277
13,0.012331005185842514,-2.352458477020264,-0.05414000153541565,-18.55862045288086,-6.0,-20.0,145.0,0.00025000001187436277
14,0.012896604835987093,-2.4026265144348145,-0.047940000891685486,-18.15151596069336,-3.0,-20.0,132.0,0.00025000001187436277
15,0.014673685654997826,-2.4492816925048833,-0.04452000185847282,-18.131147384643555,-14.0,-20.0,122.0,0.00025000001187436277
16,0.015491782687604427,-2.463618755340576,-0.03945999965071678,-17.526784896850586,-5.0,-20.0,112.0,0.00025000001187436277
17,0.01567397452890873,-2.3966095447540283,-0.03486000001430512,-17.058822631835938,-6.0,-20.0,102.0,0.00025000001187436277
18,0.01510084792971611,-2.250955104827881,-0.030379999428987507,-16.516483306884766,-13.0,-20.0,91.0,0.00025000001187436277
19,0.014020513743162157,-2.2000324726104736,-0.02630000002682209,-15.423529624938965,1.0,-19.0,85.0,0.00025000001187436277
